sexe,prenom,annee,nombre
1,AADIL,2003,3
1,AARON,2003,136
1,AARONE,2003,4
1,ABASS,2003,3
1,ABBAS,2003,5
1,ABBES,2003,3
1,ABD,2003,11
1,ABD-ALLAH,2003,7
1,ABDALLAH,2003,103
1,ABDEL,2003,67
1,ABDEL-AZIZ,2003,5
1,ABDEL-DJALIL,2003,3
1,ABDEL-HAFID,2003,4
1,ABDEL-HAKIM,2003,12
1,ABDEL-HALIM,2003,3
1,ABDEL-HAMID,2003,4
1,ABDEL-ILAH,2003,5
1,ABDEL-JALIL,2003,4
1,ABDEL-KADER,2003,13
1,ABDEL-KARIM,2003,15
1,ABDEL-MADJID,2003,4
1,ABDEL-MALEK,2003,12
1,ABDEL-MALIK,2003,12
1,ABDEL-NOUR,2003,3
1,ABDEL-RAHIM,2003,5
1,ABDEL-RAHMAN,2003,3
1,ABDEL-SAMAD,2003,3
1,ABDEL-WAHAB,2003,3
1,ABDELAH,2003,5
1,ABDELALI,2003,7
1,ABDELATIF,2003,4
1,ABDELAZIZ,2003,22
1,ABDELDJALIL,2003,3
1,ABDELGHANI,2003,3
1,ABDELHAFID,2003,7
1,ABDELHAK,2003,7
1,ABDELHAKIM,2003,37
1,ABDELHALIM,2003,6
1,ABDELHAMID,2003,9
1,ABDELILAH,2003,8
1,ABDELKADER,2003,106
1,ABDELKARIM,2003,29
1,ABDELKRIM,2003,8
1,ABDELLAH,2003,60
1,ABDELLATIF,2003,3
1,ABDELMADJID,2003,3
1,ABDELMAJID,2003,12
1,ABDELMALEK,2003,10
1,ABDELMALIK,2003,16
1,ABDELNACER,2003,3
1,ABDELNOUR,2003,9
1,ABDELRAHIM,2003,6
1,ABDELRAHMAN,2003,8
1,ABDELRAHMANE,2003,11
1,ABDELRANI,2003,4
1,ABDELSAMAD,2003,5
1,ABDELWAHAB,2003,5
1,ABDELWAKIL,2003,3
1,ABDENNOUR,2003,4
1,ABDENOUR,2003,5
1,ABDERAHIM,2003,5
1,ABDERAHMAN,2003,9
1,ABDERAHMANE,2003,14
1,ABDERAHMENE,2003,5
1,ABDERAOUF,2003,3
1,ABDERHAMANE,2003,4
1,ABDERRAHIM,2003,4
1,ABDERRAHMAN,2003,21
1,ABDERRAHMANE,2003,34
1,ABDERRAHMEN,2003,4
1,ABDESAMAD,2003,6
1,ABDESSAMAD,2003,22
1,ABDILLAH,2003,6
1,ABDOU,2003,15
1,ABDOUL,2003,22
1,ABDOUL-AZIZ,2003,4
1,ABDOUL-KARIM,2003,5
1,ABDOULAYE,2003,80
1,ABDOULLAH,2003,10
1,ABDOURAHMANE,2003,9
1,ABDRAMANE,2003,5
1,ABDSAMAD,2003,4
1,ABDUL,2003,5
1,ABDULKADIR,2003,8
1,ABDULLAH,2003,34
1,ABDURRAHMAN,2003,10
1,ABED,2003,7
1,ABEL,2003,138
1,ABILIO,2003,6
1,ABINASH,2003,3
1,ABISHAN,2003,3
1,ABOU,2003,22
1,ABOU-BAKER,2003,3
1,ABOUBACAR,2003,36
1,ABOUBAKAR,2003,22
1,ABOUBAKARI,2003,3
1,ABOUBAKARY,2003,3
1,ABOUBAKR,2003,6
1,ABOULAYE,2003,8
1,ABRAHAM,2003,36
1,ACHER,2003,3
1,ACHILE,2003,5
1,ACHILLE,2003,172
1,ACHOUR,2003,5
1,ACHRAF,2003,57
1,ADALBERT,2003,3
1,ADAM,2003,1283
1,ADAMA,2003,57
1,ADAME,2003,48
1,ADAMM,2003,3
1,ADAMS,2003,3
1,ADAN,2003,21
1,ADEL,2003,245
1,ADELIN,2003,10
1,ADEM,2003,159
1,ADEME,2003,4
1,ADEN,2003,4
1,ADHAM,2003,6
1,ADIB,2003,6
1,ADIL,2003,135
1,ADILE,2003,3
1,ADILSON,2003,4
1,ADIM,2003,3
1,ADIS,2003,3
1,ADLAN,2003,4
1,ADLANE,2003,10
1,ADLEN,2003,7
1,ADLENE,2003,7
1,ADNAN,2003,21
1,ADNANE,2003,20
1,ADOLPHE,2003,3
1,ADONIS,2003,35
1,ADRIAN,2003,126
1,ADRIANO,2003,41
1,ADRIEL,2003,8
1,ADRIEN,2003,2407
1,ADRYAN,2003,3
1,ADRYEN,2003,7
1,AEL,2003,25
1,AELIG,2003,6
1,AFIF,2003,7
1,AGASH,2003,8
1,AGHILAS,2003,3
1,AGHILES,2003,5
1,AGOSTINO,2003,3
1,AHARON,2003,7
1,AHCENE,2003,8
1,AHMAD,2003,15
1,AHMADOU,2003,6
1,AHMED,2003,305
1,AHMED-AMINE,2003,7
1,AHMED-YASSINE,2003,3
1,AHMET,2003,75
1,AHMET-CAN,2003,3
1,AIDAN,2003,28
1,AIDEN,2003,5
1,AIMAD,2003,7
1,AIMAN,2003,14
1,AIMANE,2003,19
1,AIME,2003,44
1,AIMEN,2003,38
1,AIMENE,2003,4
1,AIMERIC,2003,19
1,AIMERICK,2003,4
1,AIMERY,2003,3
1,AINA,2003,4
1,AINSLEY,2003,4
1,AISSA,2003,53
1,AISSAM,2003,14
1,AITOR,2003,4
1,AKASH,2003,9
1,AKIF,2003,4
1,AKIL,2003,6
1,AKIM,2003,37
1,AKIN,2003,8
1,AKIVA,2003,4
1,AKLI,2003,6
1,AKRAM,2003,60
1,AKRAME,2003,3
1,AKSEL,2003,33
1,AKSIL,2003,3
1,AL,2003,5
1,ALA,2003,3
1,ALAA,2003,5
1,ALADIN,2003,11
1,ALADJI,2003,4
1,ALAEDDINE,2003,5
1,ALAIN,2003,82
1,ALAN,2003,796
1,ALANE,2003,12
1,ALANN,2003,27
1,ALARIC,2003,19
1,ALASSAN,2003,4
1,ALASSANE,2003,33
1,ALBAIN,2003,5
1,ALBAN,2003,494
1,ALBANO,2003,4
1,ALBERIC,2003,25
1,ALBERT,2003,49
1,ALBERTO,2003,13
1,ALBIN,2003,52
1,ALCIDE,2003,5
1,ALDERICK,2003,3
1,ALDO,2003,5
1,ALDRIC,2003,22
1,ALDRICK,2003,8
1,ALDRIN,2003,3
1,ALDWIN,2003,3
1,ALEC,2003,65
1,ALECK,2003,5
1,ALEJANDRO,2003,13
1,ALEK,2003,3
1,ALEKSANDAR,2003,14
1,ALEKSANDER,2003,5
1,ALEKSEI,2003,5
1,ALEKSI,2003,3
1,ALEN,2003,6
1,ALENZO,2003,3
1,ALES,2003,5
1,ALESSANDRO,2003,127
1,ALESSIO,2003,70
1,ALEX,2003,853
1,ALEXAN,2003,4
1,ALEXANDER,2003,63
1,ALEXANDRE,2003,5102
1,ALEXANDRO,2003,16
1,ALEXANDRU,2003,10
1,ALEXEI,2003,8
1,ALEXI,2003,77
1,ALEXIAN,2003,30
1,ALEXIO,2003,5
1,ALEXIS,2003,4485
1,ALEXY,2003,231
1,ALEXYS,2003,20
1,ALFAYED,2003,3
1,ALFRED,2003,35
1,ALFREDO,2003,4
1,ALHAN,2003,7
1,ALHASSANE,2003,4
1,ALI,2003,388
1,ALI-EREN,2003,5
1,ALI-OSMAN,2003,3
1,ALICAN,2003,6
1,ALICK,2003,6
1,ALIHAN,2003,9
1,ALIM,2003,6
1,ALIN,2003,7
1,ALIOCHA,2003,14
1,ALIOU,2003,16
1,ALIOUNE,2003,13
1,ALISTAIR,2003,13
1,ALISTER,2003,3
1,ALIX,2003,185
1,ALIXAN,2003,4
1,ALLAN,2003,656
1,ALLANDE,2003,7
1,ALLANE,2003,4
1,ALLEN,2003,6
1,ALLONZO,2003,3
1,ALMAMY,2003,6
1,ALMIR,2003,3
1,ALMONZO,2003,3
1,ALOIS,2003,122
1,ALON,2003,10
1,ALONE,2003,11
1,ALONZO,2003,13
1,ALOYS,2003,32
1,ALPARSLAN,2003,4
1,ALPAY,2003,8
1,ALPER,2003,16
1,ALPEREN,2003,12
1,ALPHA,2003,14
1,ALPHONSE,2003,18
1,ALRIC,2003,12
1,ALRICK,2003,5
1,ALTAN,2003,6
1,ALTAY,2003,4
1,ALTIN,2003,3
1,ALVARO,2003,6
1,ALVIN,2003,43
1,ALVINE,2003,9
1,ALVYN,2003,13
1,ALWIN,2003,5
1,ALY,2003,17
1,AMAD,2003,3
1,AMADEO,2003,14
1,AMADOU,2003,57
1,AMAEL,2003,34
1,AMAL,2003,3
1,AMAN,2003,3
1,AMANE,2003,4
1,AMAR,2003,61
1,AMARA,2003,11
1,AMARY,2003,3
1,AMAURY,2003,389
1,AMAYES,2003,4
1,AMAZIR,2003,4
1,AMBROISE,2003,75
1,AMDJAD,2003,3
1,AMEDEE,2003,10
1,AMEDI,2003,3
1,AMEDY,2003,4
1,AMEL,2003,4
1,AMELIEN,2003,9
1,AMEN-ALLAH,2003,3
1,AMEUR,2003,3
1,AMIEL,2003,3
1,AMIN,2003,156
1,AMINE,2003,766
1,AMIR,2003,168
1,AMIT,2003,3
1,AMJAD,2003,7
1,AMJED,2003,4
1,AMMAR,2003,8
1,AMOR,2003,7
1,AMORY,2003,21
1,AMOS,2003,6
1,AMOUR,2003,4
1,AMR,2003,5
1,AMRANE,2003,3
1,AMRI,2003,4
1,AMYN,2003,4
1,AMYR,2003,4
1,AMZA,2003,7
1,ANAEL,2003,45
1,ANAICK,2003,6
1,ANAKIN,2003,15
1,ANAS,2003,205
